mean_test_score,std_test_score,mean_train_score,std_train_score,param_C,param_penalty,param_class_weight,rank_test_score
0.8424792510258248,0.014591359224501792,0.9913374021781991,0.0009346016850397279,10.0,l2,,1
0.8408919405813462,0.013342975587164808,0.9913374021781991,0.0009346016850397279,10.0,l2,balanced,2
0.8390117459115721,0.015538736127012183,0.9574416645567598,0.002507758083596437,1.0,l2,balanced,3
0.8327069917954875,0.01870999717855048,0.944582604485108,0.002317182853864149,1.0,l2,,4
0.8230472872341779,0.020275408026246083,0.8830031979467886,0.004472705236240167,0.01,l2,,5
0.8184914836656647,0.016078311053030515,0.889420656913645,0.0030672294777371527,0.1,l2,,6
0.8152928720342671,0.017828470016068968,0.894437540223833,0.0018957637485966209,0.1,l2,balanced,7
0.8047342809073473,0.020758721562962462,0.8706709510756262,0.004506297203016652,0.01,l2,balanced,8
0.8012767899122355,0.010675582472857617,0.9911945613062247,0.001235048254575295,10.0,l1,balanced,9
0.8011109927205631,0.007389969105515486,0.9911945613062247,0.001235048254575295,10.0,l1,,10
0.7687880364136959,0.013864136502138816,0.8306889109149223,0.0027864448646411784,1.0,l1,balanced,11
0.7604719433347371,0.01591573002025371,0.7937998267497187,0.00306160758825278,1.0,l1,,12
0.5638046048200291,0.01728055723939319,0.5639332557156796,0.008479563058225092,0.1,l1,balanced,13
0.3090415481145409,0.013007717216410364,0.3154982864855362,0.00951494245275583,0.1,l1,,14
0.06666666666666667,0.0,0.06666666666666667,0.0,0.01,l1,,15
0.06666666666666667,0.0,0.06666666666666667,0.0,0.01,l1,balanced,15
